Name,Party,Stiftung gemeinnütziger Wohnungsbau,Separativer Unterricht,Kündigung Bilaterale Verträge,Ausbau Stadion Schützenwiese,Kostenmiete statt Marktmiete,Public-Private-Partnerships,Verdichtetes Bauen,Bau von Windkraftanlagen,Engere Beziehungen zur EU,Verbot automatisierter Gesichtserkennung,Freie Marktwirtschaft,Einsatz von Sozialdetektiv/-innen,Barrierefreies Wohnen,Kürzung Sozialausgaben,Neubau Alterszentrum Adlergarten,Wohnungsvergabe an Einwohnende,Tagesschulen,Handyverbot an Schulen,Gleiche Bildungschancen,Stimmrecht für Ausländer/-innen,Abschaffung Wohnsitzpflicht,Gebührenfreie Einbürgerung unter 25,Selbstfinanzierte Sprachkurse für Ausländer/-innen,Ausbau Kulturförderung,Finanzierung Internationale Kurzfilmtage,Verbot geschlechtsneutraler Sprache,Steuersenkung,Schuldenabbau,Einstellungsstopp Stadtverwaltung,Strengere Kontrollen Lohngleichheit,Bessere Arbeitsbedingungen Stadtpersonal,Parkbewilligungen für Schichtarbeitende,Ökologische Mindeststandards im Bau,Lockerung Denkmal- und Ortsbildschutz,Sanierung Campingplatz Schützenweiher,Velowege statt Parkplätze,Verzicht auf Tram- und S-Bahn-Ausbau,Förderung motorisierter Individualverkehr,Förderung Fernwärmeanschluss,Förderung Dach- und Fassadenbegrünung,Begrünung Stadtraum,Digitale Stadtverwaltung,Ausbau Auslandshilfe,Strikte Neutralitätspolitik,Massnahmen gegen Littering,Massnahmen gegen Drogenkonsum,Stärkeres Engagement gegen häusliche Gewalt,Erhöhte Polizeipräsenz,Staatliche Umverteilung,Bestrafung von Kriminellen,Umweltschutz,Links_Rechts,Liberal_Konservativ
Isabel Heller Sörensen,Grüne,Yes,No,No,Yes,Rather yes,Rather yes,Yes,Yes,Yes,Yes,2,Rather no,Yes,No,Rather yes,Yes,Yes,Yes,Yes,Yes,Rather no,Yes,Rather no,Rather yes,Rather no,No,No,No,No,Rather yes,Rather no,Rather yes,Yes,Rather no,Rather no,Yes,No,No,Rather no,Yes,Yes,Rather yes,Yes,No,Rather no,Rather yes,Yes,No,7,1,7,-35.0,-8.0
Noah Gubelmann,Grüne,Yes,No,No,Rather yes,Yes,No,Yes,Yes,Yes,Yes,1,Rather no,Yes,No,Yes,Rather yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Rather no,Rather no,Yes,Yes,Rather no,Yes,Rather yes,No,Yes,Rather no,No,Yes,Yes,Yes,Rather no,Yes,No,Rather yes,No,Yes,Rather no,7,1,7,-45.5,-9.0
Helena Trachsel,Grüne,Yes,Rather yes,No,Yes,Rather no,Yes,Rather yes,Yes,Yes,Rather no,4,Yes,Yes,No,Yes,Yes,Yes,Rather yes,Yes,Yes,No,No,No,Yes,Yes,No,No,Rather no,No,Yes,Rather no,Yes,Yes,No,Yes,Yes,No,No,Rather no,Rather yes,Yes,Rather no,Yes,No,Yes,Yes,Yes,Yes,5,4,4,-17.0,3.5
Michael Riediker,Grüne,Yes,Rather yes,No,Rather yes,Yes,Rather no,Rather yes,Yes,Yes,Yes,4,No,Yes,No,Yes,No,Rather yes,Yes,Rather yes,Rather yes,Rather yes,No,No,Yes,Rather no,No,No,No,No,Rather yes,Rather no,Rather no,Yes,Rather no,Rather yes,Yes,Rather no,No,Rather no,Rather yes,Yes,No,Rather yes,No,Yes,Rather yes,Yes,Rather no,5,1,7,-31.5,-4.5
Lena Gubler,Grüne,Yes,Rather no,No,Rather yes,Yes,No,Rather yes,Rather yes,Rather yes,Yes,2,No,Rather yes,No,Yes,Rather no,Rather yes,Yes,Yes,Yes,Rather yes,Yes,No,Yes,Rather yes,No,No,No,No,Rather yes,Rather yes,No,Yes,Rather no,Rather yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,7,1,7,-47.5,-10.0
Andreas Epprecht,Grüne,Yes,No,No,Yes,Yes,Rather yes,Rather yes,Yes,Yes,Rather yes,4,Rather yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Rather yes,Rather yes,Yes,Yes,No,Rather yes,Rather no,No,Yes,Rather yes,Rather no,Yes,Yes,Yes,Yes,Rather no,Rather no,Rather no,Yes,Yes,Rather no,Rather yes,No,Yes,Rather yes,Yes,Rather yes,7,4,7,-27.5,-4.0
Marianne Härri,Grüne,Yes,No,No,Yes,Yes,No,Rather yes,Yes,Yes,Yes,1,Rather no,Yes,No,Yes,Yes,Yes,Rather yes,Yes,Rather yes,Yes,Yes,No,Rather yes,Rather no,No,No,No,No,Yes,Rather no,Yes,Yes,No,No,Yes,No,No,Rather no,Yes,Yes,No,Rather yes,No,Rather yes,Rather no,Yes,Rather yes,6,2,7,-39.0,-1.5
Andreas Binkert,Grüne,Yes,Rather no,No,Yes,Yes,Rather no,Yes,Yes,Yes,Yes,3,No,Yes,No,Yes,No,Yes,Rather yes,Yes,Yes,Yes,Yes,Rather no,Yes,Rather yes,No,Rather no,No,No,Rather yes,No,Rather yes,Yes,Rather no,Rather yes,Yes,Rather no,No,No,Yes,Yes,Rather yes,Yes,No,Rather no,Rather no,Yes,Rather no,5,2,7,-37.0,-11.0
Leila Hofmann,Grüne,Yes,Rather yes,No,Yes,Yes,Rather no,Yes,Rather yes,Yes,Yes,3,Rather yes,Yes,No,Yes,Rather no,Yes,Rather yes,Yes,Yes,No,Yes,Rather no,Yes,Rather yes,No,No,Rather no,Rather no,Yes,Rather no,Yes,Rather yes,Rather no,Yes,Yes,Yes,Rather no,Rather no,Yes,Yes,Rather no,Rather yes,No,Yes,No,Yes,Rather yes,6,2,6,-28.0,-1.0
Ronny Hoffmann,Grüne,Rather yes,Rather no,No,Yes,Rather yes,Rather no,Yes,Yes,Rather yes,Rather yes,2,Rather no,Yes,No,Yes,Rather no,Rather yes,Rather yes,Yes,Rather yes,Rather yes,Rather yes,Rather no,Rather yes,Rather yes,No,Rather no,Rather no,No,Rather yes,Rather no,Rather yes,Yes,Rather no,Rather yes,Yes,No,No,Rather no,Rather yes,Yes,Rather yes,Rather no,No,Yes,Rather no,Yes,Rather yes,6,3,7,-29.0,-4.5
Louisa Buttsworth,Grüne,Yes,Rather no,No,Yes,Rather yes,Rather no,Yes,Yes,Yes,Yes,4,Rather no,Yes,No,Rather yes,Rather no,Rather yes,Yes,Yes,Yes,Yes,Rather no,Rather yes,Yes,Yes,No,No,No,No,Yes,Rather no,Yes,Yes,Rather yes,Rather no,Yes,No,No,Rather no,Yes,Yes,Rather yes,Yes,Rather no,Rather no,No,Yes,Rather yes,7,4,7,-31.0,-6.0
Sibylle Kurtz,Grüne,Yes,No,No,Rather yes,Yes,Rather no,Yes,Yes,Rather yes,Yes,4,Rather no,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Rather yes,Rather yes,Yes,Rather yes,Rather no,Yes,No,No,Rather no,Yes,Yes,No,Yes,No,Yes,Rather no,Yes,No,6,1,7,-40.5,-11.0
Sarah Hunkeler,Grüne,Yes,No,No,Rather yes,Yes,Rather no,Yes,Yes,Yes,Rather yes,5,Rather no,Yes,No,Yes,No,Rather no,Rather yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Rather no,No,Yes,Rather yes,Rather yes,Yes,Yes,Rather no,Yes,Rather no,Rather no,Rather yes,Yes,Yes,Rather yes,Yes,No,Yes,Rather yes,Yes,Rather no,6,2,6,-32.5,-11.5
Marco Fankhauser,Grüne,Yes,Rather no,No,Yes,Rather yes,Rather yes,Yes,Yes,Yes,Yes,5,Rather no,Yes,No,Yes,Rather no,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Rather no,No,No,No,No,Yes,Rather yes,Yes,Yes,Rather no,No,Yes,Rather no,No,No,Yes,Yes,No,Rather no,No,Yes,Rather no,Yes,Rather no,6,2,7,-33.0,-9.5
Dorothea Frey,Grüne,Yes,Yes,No,Rather yes,Rather yes,No,Rather yes,Rather yes,Yes,Yes,2,Rather no,Yes,No,Yes,Yes,Yes,Rather yes,Yes,Rather yes,No,Yes,No,Yes,Yes,No,No,Rather no,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Rather no,No,Rather yes,Yes,Yes,No,Yes,No,Yes,Rather no,Yes,No,7,1,7,-39.5,-1.0
Philipp Blanc,Grüne,Yes,Rather yes,No,Rather no,Rather yes,Rather yes,Yes,Rather yes,Yes,Yes,4,Rather no,Rather yes,No,Rather yes,Rather yes,Rather no,Yes,Yes,Rather yes,Rather no,Yes,Rather yes,Yes,Rather yes,No,Rather no,Rather no,Rather no,Rather yes,Rather yes,Rather no,Rather yes,Rather yes,Rather no,Yes,Rather yes,No,Rather yes,Yes,Yes,Yes,Rather no,Rather no,Rather no,Rather no,Rather yes,Rather no,5,2,5,-19.0,-9.0
Claudia Neukom,Grüne,Rather yes,Yes,No,Yes,Yes,Rather yes,Rather yes,Yes,Yes,Yes,5,Rather yes,Rather yes,No,Yes,No,Yes,Yes,Yes,Rather no,No,Rather no,Rather no,Rather yes,Rather no,No,No,Rather no,No,Rather no,No,Rather yes,Yes,Yes,Yes,Yes,Rather yes,No,Rather yes,Yes,Yes,Yes,Rather yes,Rather no,Rather yes,No,Yes,No,5,2,1,-14.0,-5.5
Fabio Benedetto,Grüne,Yes,Rather no,No,Rather yes,Yes,Rather no,Yes,Yes,Yes,Yes,1,No,Yes,No,Rather yes,Rather no,Yes,Rather no,Yes,Yes,Yes,Yes,No,Yes,Rather yes,No,Rather no,No,No,Yes,Rather yes,Yes,Yes,Rather no,No,Yes,Rather no,No,Yes,Yes,Yes,Rather yes,Yes,No,Rather no,No,Yes,No,7,1,7,-46.5,-11.5
Justus Graumann,Grüne,Yes,Rather no,No,Rather yes,Rather no,Rather yes,Yes,Yes,Yes,Rather yes,6,Rather yes,Yes,No,Rather no,Yes,No,Yes,Yes,Yes,No,Rather no,No,Yes,Rather no,No,Rather no,Yes,Rather yes,Yes,Rather no,Rather no,Yes,No,Rather yes,Yes,Yes,Rather no,Rather no,No,Yes,Yes,Rather no,No,Yes,Rather no,Yes,Rather no,5,3,7,-10.0,-9.0
Hannes Mauch,Grüne,Yes,No,No,Yes,Yes,No,Yes,Rather yes,Yes,Yes,1,No,Rather yes,Yes,Yes,Rather no,Yes,Yes,Rather yes,Yes,Rather no,Yes,Yes,Rather no,Yes,No,No,No,No,Rather yes,Rather yes,Yes,Yes,Rather yes,Yes,Yes,Rather no,No,Yes,Rather yes,Yes,Rather no,No,No,Rather no,No,Yes,No,7,4,7,-33.5,-4.5
Lars Schultz,Grüne,Rather yes,Rather no,No,Rather yes,Yes,Rather no,Rather yes,No,Yes,Yes,2,Rather no,Rather yes,No,Yes,No,Rather no,Yes,Yes,Yes,Rather no,Rather no,No,Rather yes,Rather yes,No,No,No,No,Yes,Rather no,Yes,Yes,Yes,Rather no,Yes,Yes,No,Rather no,Yes,Yes,Rather yes,Yes,No,Rather yes,Rather no,Yes,Rather yes,6,3,7,-26.0,-2.0
Ruth Arnheiter,Grüne,Yes,Rather yes,Rather no,Rather no,Yes,Rather no,Rather no,Yes,Rather yes,Rather yes,3,Rather yes,Yes,Rather no,Rather yes,Rather no,Rather yes,Yes,Rather yes,Yes,Rather no,Rather no,Rather no,Rather yes,Rather no,Rather no,Rather no,Rather no,Rather no,Rather yes,Rather no,Rather yes,Yes,Rather no,No,Yes,Yes,No,Rather no,Yes,Yes,Rather no,Yes,Rather no,Rather yes,Rather yes,Rather yes,Rather no,7,4,7,-21.5,5.0
Michel Schwerzmann,Grüne,Yes,No,No,Yes,Rather yes,Rather yes,Yes,Yes,Yes,Rather yes,3,Rather no,Yes,Rather no,Rather yes,Rather no,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Rather yes,No,Rather no,Rather yes,Rather no,Yes,Rather no,Rather yes,Yes,Rather yes,Rather yes,Yes,Rather no,Rather no,Rather no,Yes,Yes,Rather no,Yes,No,Yes,No,Yes,Rather no,5,2,6,-30.5,-12.5
Franziska Matter,Grüne,Yes,No,No,No,Rather yes,No,Yes,Yes,Yes,Yes,3,Rather no,Rather yes,No,Yes,Rather yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Rather yes,No,Yes,No,Rather no,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,5,1,7,-42.5,-11.5
Philipp Meier,Grüne,Rather yes,Rather yes,No,Rather yes,Rather yes,Rather yes,Rather yes,Yes,Yes,Yes,5,Rather yes,Rather yes,No,Yes,Rather no,Rather yes,Yes,Rather yes,Yes,Rather yes,Rather yes,Rather yes,Rather yes,Rather no,Rather no,No,No,No,Rather no,Rather no,Yes,Rather yes,Rather no,No,Yes,Rather no,No,No,Yes,Yes,Rather yes,Yes,No,Yes,Yes,Rather yes,Rather yes,6,2,7,-19.5,-2.5
Daniel Meier,Grüne,Yes,Rather no,No,Rather no,Yes,Rather yes,Yes,Rather yes,Yes,Yes,3,Rather no,Yes,No,Rather yes,Rather no,Rather yes,Rather yes,Yes,Yes,Rather yes,Yes,Rather no,Rather yes,Rather yes,No,Rather no,Rather yes,Rather no,Yes,Rather yes,Rather no,Yes,Rather yes,Rather no,Yes,Rather no,No,Yes,Yes,Yes,Rather no,Yes,Rather no,Rather yes,Rather no,Yes,No,6,1,7,-35.0,-13.5
Juliette Wanner,Grüne,Rather yes,Rather no,Rather no,Rather yes,Rather yes,Rather no,Yes,Yes,Rather no,Rather yes,4,Yes,Yes,No,Rather yes,Rather yes,Yes,Yes,Rather yes,Rather yes,Rather no,Rather yes,Rather yes,Yes,Yes,Rather no,No,Rather no,Rather no,Yes,Rather yes,Rather no,Yes,No,Rather yes,Yes,Rather no,No,No,Rather yes,Yes,Rather no,Rather yes,No,Yes,Rather no,Yes,Rather yes,3,4,7,-20.0,3.0
Thomas Hug,Grüne,Yes,Rather no,No,Rather yes,Yes,Rather no,Yes,Yes,Yes,Yes,2,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Rather no,Yes,No,Yes,Rather yes,No,No,No,No,Rather yes,Rather yes,Yes,Yes,No,Rather yes,Yes,No,No,Rather no,Rather yes,Yes,Rather yes,Rather yes,No,Yes,Rather no,Yes,Rather no,7,1,6,-38.5,-7.0
Amélie Wanner,Grüne,Rather yes,Rather no,No,Yes,Rather yes,Rather no,Yes,Yes,Yes,Rather yes,2,Rather yes,Yes,No,Rather yes,No,Rather yes,Rather yes,Yes,Yes,Rather yes,Yes,Rather no,Rather yes,Rather yes,No,No,No,No,Yes,Rather yes,Rather no,Yes,Rather yes,Rather yes,Yes,Rather no,No,Rather no,Rather yes,Yes,Rather no,Rather yes,No,Yes,Rather no,Yes,Rather no,6,2,7,-35.5,-7.0
Jonas Pfister,Grüne,Yes,Yes,No,Rather no,Rather yes,No,Yes,Yes,Yes,Rather yes,2,No,Rather yes,No,Yes,No,Rather yes,Rather no,Yes,Rather yes,Rather no,Rather no,No,Yes,Rather no,No,No,Rather yes,No,Yes,Rather no,Yes,Yes,Rather yes,Yes,Yes,Rather yes,No,Rather yes,Rather no,Yes,Rather no,Rather yes,No,Yes,Rather yes,Yes,Yes,7,2,7,-26.5,-1.5
Maja Burkhart,Grüne,Rather yes,No,No,Yes,Rather yes,Rather no,Rather yes,Yes,Yes,Rather yes,2,Rather no,Yes,No,Yes,Rather yes,Yes,Yes,Yes,Yes,Rather no,Yes,No,Yes,Yes,No,No,No,Rather no,Rather yes,Rather no,Rather yes,Yes,Rather no,Yes,Yes,Rather no,Rather no,Rather yes,Rather yes,Yes,Rather yes,Rather yes,No,Yes,Rather yes,Yes,Rather no,5,1,7,-33.5,-4.5
Sébastian Margot,Grüne,Yes,No,No,Yes,Yes,Rather no,Yes,Yes,Yes,Yes,2,Rather no,Yes,No,Rather yes,No,Rather yes,Rather no,Yes,Yes,Yes,Yes,No,Yes,Rather yes,No,Rather no,No,Rather no,Yes,Yes,Yes,Yes,Rather yes,No,Yes,No,No,Rather yes,Rather yes,Yes,Rather yes,Rather no,No,Yes,Rather no,Yes,No,6,1,7,-40.0,-13.0
Yannik Müller,Grüne,Yes,Rather no,No,Yes,Yes,No,Rather yes,Yes,Rather yes,Yes,2,Rather yes,Yes,No,Yes,No,Rather yes,No,Yes,Yes,Rather no,Yes,No,Yes,Yes,No,Rather yes,Rather no,No,Yes,Rather yes,Rather yes,Yes,No,Rather yes,Yes,No,No,Yes,Yes,Yes,Rather yes,Rather yes,No,Rather yes,Rather no,Yes,Rather no,7,2,7,-41.5,-8.0
Christina Lolos,Grüne,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,1,No,Yes,No,Yes,No,Yes,Rather yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Rather yes,Yes,Yes,No,Rather yes,Yes,No,No,Rather yes,Yes,Yes,Rather yes,Yes,No,Yes,Rather no,Yes,No,7,2,7,-46.5,-7.5
Bruno Holliger,Grüne,Yes,Rather yes,Rather no,Rather no,Yes,No,Rather yes,Rather no,Rather yes,Rather yes,4,Rather yes,Rather yes,Rather no,Rather yes,Rather yes,Rather no,Rather yes,Yes,Rather no,Rather no,Rather yes,Rather no,Rather yes,Rather yes,No,Rather no,No,Rather no,Rather yes,Rather yes,Rather yes,Rather yes,Rather yes,No,Yes,Rather no,No,Rather yes,Rather yes,Yes,Rather no,Rather yes,Rather no,Yes,Rather no,Yes,Rather yes,6,2,6,-19.5,0.0
Laura Weis,Grüne,Yes,Rather no,No,Rather yes,Yes,Rather no,Yes,Yes,Yes,Rather yes,3,No,Yes,No,Yes,Rather no,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Rather yes,No,No,No,No,Yes,Rather yes,Rather yes,Yes,Rather yes,Rather yes,Yes,Rather no,No,No,Yes,Yes,Rather no,Rather yes,No,Yes,Rather no,Yes,Rather yes,4,4,6,-31.0,-5.0
Peter Stamm,Grüne,Yes,Rather no,No,Rather yes,Rather yes,Rather no,Rather yes,Yes,Yes,Yes,4,Rather yes,Yes,No,Yes,Rather no,Rather yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Rather no,No,No,Rather yes,Rather yes,Rather yes,Yes,Rather yes,Yes,Yes,Rather no,No,Rather yes,Rather yes,Yes,Rather no,Yes,No,Rather yes,Rather no,Yes,Rather no,6,1,7,-37.0,-10.0
Romana Heuberger,FDP,No,Rather yes,No,Rather yes,No,Yes,Yes,Rather yes,Rather no,Rather no,6,Yes,Rather yes,Rather no,Yes,Rather no,Rather yes,Rather yes,Rather yes,No,No,Rather no,Yes,Rather yes,Rather no,Rather no,Rather yes,Rather yes,Rather yes,Rather no,Rather no,Yes,Rather no,Rather yes,Rather yes,Rather no,Rather no,Yes,Rather no,Rather no,Rather no,Rather yes,No,Rather no,Rather yes,Rather yes,Rather yes,Rather yes,3,4,3,17.5,-0.5
Felix Helg,FDP,No,Yes,No,Yes,No,Yes,Yes,Rather yes,No,Rather no,7,Rather no,Rather no,Rather no,Yes,Yes,Rather yes,Rather yes,No,No,No,Rather no,Yes,Rather no,No,Rather yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,Rather no,Yes,No,Rather no,No,Rather yes,No,Rather yes,Yes,Yes,Rather yes,Rather yes,1,5,2,35.0,3.0
Christian Maier,FDP,No,Rather yes,Rather yes,No,No,Yes,Yes,No,Rather no,Rather yes,7,Yes,Rather no,Yes,Rather no,Rather yes,No,Rather no,No,No,No,No,Yes,No,No,No,Rather yes,Yes,Rather yes,Rather no,No,Rather yes,No,Yes,Rather no,No,Rather yes,Yes,No,No,No,Yes,No,Rather yes,Rather no,Rather no,Rather no,Rather no,1,5,2,39.0,-3.0
Raphael Perroulaz,FDP,No,Rather no,No,Rather no,No,Yes,Yes,Yes,No,Rather no,7,Rather yes,Rather no,Rather yes,Rather yes,No,Rather yes,No,Rather no,No,No,Rather yes,No,Rather yes,No,No,Yes,Rather yes,Yes,No,No,Yes,No,Rather yes,No,No,No,Rather yes,Rather no,Rather no,No,Yes,No,No,Yes,Yes,No,Rather no,1,4,2,23.5,-11.0
Jan Fehr,FDP,No,Yes,No,Rather yes,No,Yes,Yes,Rather yes,Rather yes,Yes,7,Rather yes,Rather yes,Rather no,Yes,Rather yes,No,Rather yes,Rather yes,No,No,Rather no,Yes,Rather no,No,No,Yes,Yes,Yes,Rather no,No,Yes,Rather no,Rather yes,No,No,No,Yes,No,No,No,Rather yes,No,Rather yes,No,Rather no,Rather yes,Rather no,1,3,3,21.5,-9.0
Raphael Tobler,FDP,No,Yes,No,Yes,No,Rather yes,Yes,Rather no,Rather yes,Rather no,7,Yes,Rather no,Rather yes,Yes,Rather yes,Rather yes,Rather no,Rather yes,No,Rather no,No,Yes,Rather no,No,Rather yes,Rather yes,Yes,Rather yes,No,No,Yes,No,Rather yes,Rather no,Rather no,No,Yes,Rather no,No,Rather no,Rather yes,No,Rather yes,Rather yes,Yes,Rather yes,Rather yes,2,4,3,27.0,-1.0
Dani Romay,FDP,No,Yes,Yes,Yes,Rather yes,Yes,Yes,No,No,No,7,Yes,No,Rather no,Yes,Yes,Yes,Yes,Rather no,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,Yes,Rather yes,No,No,Rather yes,No,Rather no,Yes,Yes,Yes,Yes,2,6,1,37.0,9.5
Cristina Mancuso Cabello,FDP,No,Rather no,Rather no,Rather yes,No,Yes,Yes,Rather yes,Rather yes,Rather no,6,Yes,Rather no,Rather no,Yes,Rather yes,Rather yes,Rather yes,Rather no,Rather yes,No,No,Yes,Rather no,Rather no,No,Yes,Yes,Rather no,No,No,Yes,No,Rather yes,Rather no,No,Rather no,Yes,No,Rather no,No,Rather yes,Rather no,Rather no,Rather yes,Rather yes,Rather yes,Rather yes,2,6,2,25.0,0.5
Daniel Zwahlen,FDP,No,No,Yes,No,No,Yes,No,No,No,No,7,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,No,Yes,1,7,1,44.0,1.0
Florian Konermann,FDP,Rather no,Yes,No,Rather yes,No,Yes,Yes,Rather yes,Rather yes,No,7,Yes,Rather yes,Yes,Rather yes,No,No,Rather yes,Rather no,Rather yes,No,Rather no,Yes,No,No,Yes,Yes,Yes,Yes,Rather yes,No,No,Rather no,Rather no,Rather no,No,Rather yes,Yes,No,No,No,Yes,No,Rather yes,Yes,Rather yes,Rather no,No,3,5,3,27.5,-3.5
Laura Calendo,FDP,No,Rather no,No,No,No,Yes,Yes,Yes,Rather no,Rather no,7,Yes,Rather no,Rather yes,Yes,No,Rather no,No,Rather no,No,Rather no,Rather yes,Rather no,Rather yes,Rather no,No,Yes,Yes,Yes,No,No,Yes,No,Rather no,No,Rather no,No,Yes,No,No,No,Yes,No,Rather no,Rather no,Yes,Rather no,Rather yes,1,4,1,25.0,-10.0
Benjamin Frei,FDP,No,Yes,No,Yes,No,Yes,Yes,Rather no,No,Rather yes,7,Yes,Rather no,Rather yes,Yes,Rather yes,Rather yes,Rather no,Rather no,Rather no,No,Rather no,Rather yes,No,No,Rather yes,Yes,Yes,Rather yes,No,No,Yes,No,Yes,Rather no,No,Rather no,Yes,No,No,No,Rather yes,No,Rather no,Yes,Yes,Rather yes,Yes,1,5,2,34.5,-0.5
Elmonda Bajraliu,FDP,Rather no,No,No,Yes,No,Rather yes,Rather yes,Rather yes,Rather yes,Rather yes,6,Rather yes,Rather yes,Rather no,Rather yes,No,Rather yes,No,Rather yes,No,Rather no,No,Rather yes,Rather yes,Rather no,No,Yes,Rather no,Rather yes,Rather no,Rather no,Rather yes,No,Yes,Rather yes,Rather no,Rather no,Rather yes,Rather no,Rather no,Rather yes,Rather no,No,No,Rather yes,Rather yes,Yes,Rather yes,4,3,4,2.5,-8.0
Stéphanie Bosshard,FDP,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,5,No,No,No,Yes,No,Yes,Yes,Rather yes,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,5,4,3,11.5,4.5
Severin Schefer,FDP,No,No,Yes,Yes,Rather no,Rather yes,Yes,Rather yes,Rather yes,Rather yes,7,Rather yes,Rather no,Rather yes,Rather yes,No,No,Rather no,No,No,Rather no,No,Rather yes,Rather no,Rather yes,Yes,Rather yes,Yes,Yes,Rather no,No,Rather yes,No,Yes,Yes,Rather no,No,Yes,Rather no,No,Rather no,Yes,No,Rather yes,Rather yes,Rather yes,Rather yes,Rather yes,1,4,1,27.5,-4.5
Angelika Ramer König,FDP,Yes,Yes,No,Rather no,Rather no,Yes,Rather no,Rather no,Yes,Rather yes,6,Rather yes,Yes,Rather no,Yes,Rather no,Yes,Rather no,Yes,Yes,Rather yes,Rather no,Rather yes,Rather yes,Yes,Rather no,Rather yes,Rather yes,Rather no,Yes,Rather yes,Yes,Rather yes,Rather yes,Rather yes,Rather no,No,Rather yes,Rather yes,Yes,Yes,No,Yes,Rather no,Rather yes,Rather yes,Yes,Rather yes,3,4,5,-10.5,-5.0
Philippe Pfiffner,FDP,Rather no,Rather no,No,Rather no,Rather no,Yes,Yes,Rather yes,Yes,Rather no,6,Yes,Rather yes,Rather no,Yes,No,Rather yes,Rather yes,Rather yes,No,Rather no,Rather yes,No,Rather no,No,Rather yes,Rather yes,Rather yes,Rather yes,Rather no,Rather no,Yes,Rather no,Rather yes,Rather yes,Rather no,Rather no,Yes,Rather yes,Rather no,Rather no,Yes,No,Rather no,Yes,Rather yes,Yes,Rather yes,4,4,3,12.0,-5.5
Basil Wittmann,FDP,Rather yes,Yes,Yes,Rather no,Rather yes,Yes,Yes,Rather yes,No,Rather no,7,Yes,Rather yes,Rather yes,Rather no,Rather yes,Rather yes,No,Rather yes,Rather no,Rather no,Rather yes,Rather yes,Rather no,Rather no,Rather yes,Rather no,Yes,Rather yes,Rather yes,Rather no,Yes,Yes,Yes,Rather yes,Rather no,No,Rather yes,Rather no,Rather no,Rather no,Yes,Rather no,Rather yes,Rather yes,Rather yes,Rather yes,Yes,4,6,5,18.0,2.0
Daniela Stark,FDP,No,Rather yes,Rather yes,No,Yes,Yes,Rather yes,No,Rather yes,Rather no,7,Yes,Rather no,Rather yes,Rather no,Yes,Rather no,Yes,No,No,No,No,Yes,No,Rather no,Rather yes,Yes,Yes,Yes,Rather yes,Rather no,Rather yes,Rather yes,No,Rather yes,Rather no,Rather no,Rather no,Rather yes,Rather no,Rather no,Rather yes,Rather yes,No,Yes,Yes,Rather yes,Yes,4,3,5,21.0,3.5
Alexandra Meier,FDP,Rather no,Yes,No,Yes,Rather yes,Yes,Yes,Yes,Rather no,No,6,Yes,Rather yes,Rather no,Yes,Rather yes,Yes,Rather no,Yes,Rather yes,No,Yes,Yes,Rather no,Rather yes,No,Yes,Yes,Rather yes,Rather yes,No,Rather yes,Rather yes,Yes,Yes,Rather yes,Rather no,Rather no,Yes,Rather yes,Rather yes,Rather no,No,No,Rather no,Rather no,Yes,Rather no,3,2,5,-4.5,-10.0
Ueli Holzer,FDP,No,Rather yes,Rather yes,Rather yes,No,Yes,Yes,Yes,Rather yes,No,7,Yes,Yes,Rather yes,Rather yes,Rather yes,Rather yes,Yes,Rather yes,No,No,No,Rather yes,Rather no,Rather yes,No,Yes,Yes,Rather no,No,No,Yes,No,Yes,Rather yes,No,No,Yes,No,No,Rather no,Yes,No,Rather no,Yes,Yes,No,Rather yes,4,4,1,28.0,-1.0
